"Geo_GEOID","Geo_NAME","SE_T002_001","SE_T002_002","SE_T002_003","SE_T012_001","SE_T012_002","SE_T012_003","SE_T057_001","SE_T098_001","SE_T104_001","B25077001","B25077001s","lng","lat"
"05000US05093","Mississippi County, Arkansas","44199","49.07861","900.5756011","35.9","34","37.7","35003","1975","621","80700","1943.030303", -90.05420366760232, 35.76383015969651
"05000US05095","Monroe County, Arkansas","7542","12.42237","607.130535","45.5","44.7","46.1","31541","1975","500","56400","3940", -91.20389403331507, 34.67783103077512
"05000US05097","Montgomery County, Arkansas","9100","11.66845","779.8807284","49.2","47.9","50","35103","1982","553","88200","6599.393939", -93.6594189479753, 34.538924741087875
"05000US05099","Nevada County, Arkansas","8668","14.0296","617.8366726","44","36.4","46.7","30750","1971","675","65300","2380.606061", -93.30719497412106, 33.66395749042699
"05000US05101","Newton County, Arkansas","7988","9.730715","820.9058081","47.9","47.2","48.7","33176","1980","394","84800","4451.515152", -93.2178666834715, 35.919972024178364
"05000US05103","Ouachita County, Arkansas","24728","33.74531","732.7833797","42.8","41.9","43.8","31233","1973","546","66900","2887.272727", -92.88193611354676, 33.59335729108505
"05000US05105","Perry County, Arkansas","10246","18.57632","551.562364","43.7","42.5","44.9","45819","1989","653","84500","6051.515152", -92.93144774716875, 34.94737116635421
"05000US05107","Phillips County, Arkansas","19929","28.64907","695.6247087","37.3","35.5","39.1","26829","1972","585","62900","3211.515152", -90.84805786577692, 34.42824171824976
"05000US05109","Pike County, Arkansas","11017","18.34274","600.6191102","41.4","41.4","41.4","34519","1983","511","77300","3207.878788", -93.65647544044036, 34.16366450516531
"05000US05111","Poinsett County, Arkansas","24131","31.81994","758.3610117","39.9","38.4","41.9","35163","1976","537","77900","2444.848485", -90.66299012379774, 35.57402176689497
"05000US05113","Polk County, Arkansas","20290","23.65672","857.684431","44.1","43.1","45.1","33202","1983","529","83900","3594.545455", -94.22806552812303, 34.4858635013779
"05000US05115","Pope County, Arkansas","63107","77.66491","812.5548319","34.9","34.2","35.8","40534","1986","667","120900","2925.454545", -93.03415280850584, 35.44762691983261
"05000US05117","Prairie County, Arkansas","8334","12.8628","647.9150822","45.4","44.7","46.9","37500","1978","504","67100","1896.363636", -91.55278311194793, 34.829799025834475
