Geo_GEOID,Geo_NAME,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T057_001,SE_T098_001,SE_T104_001,ACS16_5yr_B25077001,ACS16_5yr_B25077001s
05000US12057,"Hillsborough County, Florida",1323059,1296.718,1020.313978,36.6,35.6,37.6,51681,1987,992,167400,729.6969697
05000US12059,"Holmes County, Florida",19569,40.87475,478.7551819,42.3,38.6,46.2,37437,1981,656,90700,7067.272727
05000US12061,"Indian River County, Florida",145342,289.0759,502.7813874,51.4,49.6,52.8,47446,1988,881,160900,2175.757576
05000US12063,"Jackson County, Florida",48721,53.06276,918.1768194,41.3,39.5,44.4,35470,1980,624,92200,3596.969697
05000US12065,"Jefferson County, Florida",14082,23.54479,598.0940885,45.5,42.5,49.2,41696,1986,823,123300,10563.0303
05000US12067,"Lafayette County, Florida",8742,16.08727,543.4109996,38.4,36.7,40.2,36236,1991,675,112400,8723.636364
05000US12069,"Lake County, Florida",317586,337.5429,940.8760195,46.7,45.3,47.9,47141,1992,956,145100,1751.515152
05000US12071,"Lee County, Florida",680970,868.4918,784.0834475,47.3,46,48.7,50390,1992,984,171100,1146.666667
05000US12073,"Leon County, Florida",284788,427.0551,666.8647052,30.3,29.3,31.1,48248,1987,941,183800,1606.666667
05000US12075,"Levy County, Florida",39707,35.50875,1118.231566,46.6,45.6,47.7,35480,1991,651,86700,2315.757576
05000US12077,"Liberty County, Florida",8285,9.915466,835.5633586,36.9,35,39.6,37917,1987,574,69500,6296.363636
05000US12079,"Madison County, Florida",18560,26.66259,696.1064654,41.6,39.2,44.8,29806,1982,650,81100,3729.090909
05000US12081,"Manatee County, Florida",353411,475.554,743.1564687,47.1,45.6,48.5,51483,1985,993,178700,2296.969697
05000US12083,"Marion County, Florida",340341,214.3163,1588.031401,48.5,46.8,49.8,40295,1990,819,114400,1540
05000US12085,"Martin County, Florida",153592,282.4802,543.7265532,51.1,49.5,52.8,52622,1985,996,209700,4803.030303
05000US12086,"Miami-Dade County, Florida",2664418,1403.313,1898.663141,39.3,37.8,40.8,44224,1976,1143,221100,1218.787879
05000US12087,"Monroe County, Florida",77150,78.48303,983.0150008,46.7,46.2,47.2,60303,1980,1466,400800,9112.121212
05000US12089,"Nassau County, Florida",77187,118.9984,648.6387551,44.6,43.6,45.6,59196,1993,1050,192600,3690.909091
05000US12091,"Okaloosa County, Florida",195798,210.4762,930.2620522,36.8,34.9,38.8,57655,1987,1035,191800,2586.666667
05000US12093,"Okeechobee County, Florida",39420,51.2678,768.9036644,40.2,39,41.8,36415,1986,700,90800,4773.939394
05000US12095,"Orange County, Florida",1256055,1390.495,903.3148138,34.5,33.5,35.4,49391,1989,1064,173700,913.3333333
05000US12097,"Osceola County, Florida",311962,234.9705,1327.664752,35.8,34.5,37.3,45536,1997,1074,146500,2237.575758
05000US12099,"Palm Beach County, Florida",1398757,710.0675,1969.892951,44.3,42.4,45.9,55277,1985,1206,222700,1253.333333
05000US12101,"Pasco County, Florida",488310,653.1318,747.6439026,44.6,43.5,45.7,46010,1986,946,122100,1198.181818
05000US12103,"Pinellas County, Florida",939548,3431.594,273.7934662,47.4,45.8,48.8,47090,1975,967,157500,800
05000US12105,"Polk County, Florida",637691,354.9122,1796.757075,40.4,39.2,41.7,44146,1987,883,110400,997.5757576
05000US12107,"Putnam County, Florida",72304,99.33511,727.8795732,44.5,43.1,45.9,33003,1982,672,84100,1625.454545
05000US12109,"St. Johns County, Florida",218362,363.5155,600.6951198,42.9,41.9,44,69523,1995,1150,259900,3230.30303
05000US12111,"St. Lucie County, Florida",293136,512.7649,571.6772371,44.3,42.9,45.5,44140,1991,1024,137700,2167.272727
05000US12113,"Santa Rosa County, Florida",163903,161.9979,1011.75998,39.5,37.8,41.4,60652,1993,1033,165500,1850.909091
05000US12115,"Sarasota County, Florida",398011,716.1172,555.7903373,54.5,52.8,55.9,52796,1983,1064,196800,1676.969697
05000US12117,"Seminole County, Florida",442905,1431.128,309.4797103,39.2,37.3,40.5,58538,1986,1105,188400,2086.666667
05000US12119,"Sumter County, Florida",113589,207.4136,547.6448045,66,65.5,66.4,52594,2003,808,227000,2766.060606
05000US12121,"Suwannee County, Florida",43653,63.39827,688.5518605,41.9,40.9,43.8,37796,1990,648,88700,3966.060606
05000US12123,"Taylor County, Florida",22582,21.64474,1043.301699,41.3,38.9,44.1,36195,1982,576,83200,3370.909091
05000US12125,"Union County, Florida",15159,62.2403,243.5560443,39.7,40.9,37.4,37778,1988,588,89100,5495.151515
05000US12127,"Volusia County, Florida",510806,463.8719,1101.17902,46.5,44.8,48.1,42240,1984,931,139000,1267.878788
05000US12129,"Wakulla County, Florida",31314,51.63732,606.4218367,40.2,40,40.4,54078,1994,818,131500,5156.363636
05000US12131,"Walton County, Florida",61528,59.29153,1037.719884,43.4,42.3,44.9,46910,1996,950,183400,7340
05000US12133,"Washington County, Florida",24627,42.15626,584.1836858,42,40.4,43.8,38330,1986,687,93700,5202.424242
05000US13001,"Appling County, Georgia",18410,36.30277,507.1238199,38.8,37.9,39.9,37388,1984,514,72100,3515.151515
